y,Vgs,psi
0.0,-2.0,-0.3338810916779854
0.0,-1.98,-0.33327236927767295
0.0,-1.96,-0.3326566594218728
0.0,-1.94,-0.33203380249471665
0.0,-1.92,-0.3314036334107265
0.0,-1.9,-0.330765981364354
0.0,-1.88,-0.33012066956522973
0.0,-1.8599999999999999,-0.3294675149577928
0.0,-1.84,-0.3288060009761023
0.0,-1.82,-0.32813659777277543
0.0,-1.8,-0.3274587616734052
0.0,-1.78,-0.3267722814111935
0.0,-1.76,-0.3260769377815125
0.0,-1.74,-0.32537250324336137
0.0,-1.72,-0.32465874149570045
0.0,-1.7,-0.3239354070267918
0.0,-1.68,-0.3232022446344277
0.0,-1.66,-0.32245898891482333
0.0,-1.6400000000000001,-0.32170538070015364
0.0,-1.62,-0.3209410987273481
0.0,-1.6,-0.32016586037191147
0.0,-1.58,-0.31937935359389735
0.0,-1.56,-0.31858107429474314
0.0,-1.54,-0.31777104806001694
0.0,-1.52,-0.31694873389960854
0.0,-1.5,-0.3161137617187628
0.0,-1.48,-0.31526574471394003
0.0,-1.46,-0.31440427836507484
0.0,-1.44,-0.31352893935154436
0.0,-1.42,-0.3126392843849656
0.0,-1.4,-0.3117348429889956
0.0,-1.38,-0.3108150684985004
0.0,-1.3599999999999999,-0.3098795873451065
0.0,-1.3399999999999999,-0.3089277905088936
0.0,-1.3199999999999998,-0.30795878816183675
0.0,-1.2999999999999998,-0.3069726576706145
0.0,-1.28,-0.30596842905723737
0.0,-1.26,-0.3049454443025462
0.0,-1.24,-0.3039030094982866
0.0,-1.22,-0.30284039252194167
0.0,-1.2,-0.3017568197824388
0.0,-1.18,-0.30065147339022524
0.0,-1.1600000000000001,-0.29952348769292153
0.0,-1.1400000000000001,-0.29837194552605034
0.0,-1.12,-0.29719586084401356
0.0,-1.1,-0.2959942273483689
0.0,-1.08,-0.294765459651796
0.0,-1.06,-0.2935093868381094
0.0,-1.04,-0.2922242374758088
0.0,-1.02,-0.2909086838447545
0.0,-1.0,-0.2895613076355058
0.0,-0.98,-0.28818059171607646
0.0,-0.96,-0.2867647461225397
0.0,-0.94,-0.2853123663728332
0.0,-0.9199999999999999,-0.2838214042473633
0.0,-0.8999999999999999,-0.28228984537432933
0.0,-0.8799999999999999,-0.2807155172983553
0.0,-0.8599999999999999,-0.27909607441267287
0.0,-0.8400000000000001,-0.27742897999210087
0.0,-0.8200000000000001,-0.2757114842882887
0.0,-0.8,-0.2739405994655413
0.0,-0.78,-0.2721130174327118
0.0,-0.76,-0.27022506854326966
0.0,-0.74,-0.26827343739625265
0.0,-0.72,-0.2662534262740381
0.0,-0.7,-0.26416050483967446
0.0,-0.6799999999999999,-0.26198952814830606
0.0,-0.6599999999999999,-0.2597346020500282
0.0,-0.6399999999999999,-0.25738977901777843
0.0,-0.6199999999999999,-0.254948323349515
0.0,-0.5999999999999999,-0.25240223845796583
0.0,-0.5800000000000001,-0.24974271482252117
0.0,-0.56,-0.24696048813437071
0.0,-0.54,-0.24404450283710116
0.0,-0.52,-0.24098250901979193
0.0,-0.5,-0.237760251323224
0.0,-0.48,-0.23436301336825627
0.0,-0.45999999999999996,-0.23077198408549585
0.0,-0.43999999999999995,-0.22696708344189254
0.0,-0.41999999999999993,-0.22292422244197116
0.0,-0.3999999999999999,-0.21861738411670997
0.0,-0.3799999999999999,-0.21401378900566678
0.0,-0.3599999999999999,-0.2090782838496717
0.0,-0.33999999999999986,-0.20376843929536195
0.0,-0.32000000000000006,-0.1980353396617514
0.0,-0.30000000000000004,-0.19182343253981463
0.0,-0.28,-0.18506768392906595
0.0,-0.26,-0.1776947024884991
0.0,-0.24,-0.169621987252525
0.0,-0.21999999999999997,-0.16076152334789565
0.0,-0.19999999999999996,-0.15102077309812253
0.0,-0.17999999999999994,-0.14031159861227988
0.0,-0.15999999999999992,-0.12855867161856022
0.0,-0.1399999999999999,-0.1157144911392365
0.0,-0.11999999999999988,-0.1017711929808251
0.0,-0.09999999999999987,-0.08677278253846733
0.0,-0.08000000000000007,-0.07080289105691406
0.0,-0.06000000000000005,-0.05399675041897411
0.0,-0.040000000000000036,-0.036499270033887664
0.0,-0.020000000000000018,-0.01845694169849501
0.0,0.0,0.0
0.0,0.02,0.01876449068064967
0.0,0.04,0.03775398907471485
0.0,0.06,0.05690749480014065
0.0,0.08,0.07618101497983926
0.0,0.1,0.09554456804894804
0.0,0.12,0.11497535791672579
0.0,0.14,0.1344583810986878
0.0,0.16,0.15398266526321905
0.0,0.18,0.17354028672324942
0.0,0.2,0.19312534464858305
0.0,0.22,0.2127334324016513
0.0,0.24,0.23236115591438125
0.0,0.26,0.25200585679480847
0.0,0.28,0.27166543920455266
0.0,0.3,0.2913381558422921
0.0,0.32,0.3110226057242137
0.0,0.34,0.3307176104236344
0.0,0.36,0.3504221905867267
0.0,0.38,0.3701354778983085
0.0,0.4,0.3898567505568314
0.0,0.42,0.4095853745201159
0.0,0.44,0.4293207935549832
0.0,0.46,0.4490625392298913
0.0,0.48,0.46881014790430775
0.0,0.5,0.48856323320467354
0.0,0.52,0.5083214381111618
0.0,0.54,0.5280844217434056
0.0,0.56,0.5478518407732553
0.0,0.58,0.5676233225763198
0.0,0.6,0.5873983442902503
0.0,0.62,0.6071761307252355
0.0,0.64,0.6269552868183994
0.0,0.66,0.6467331088165299
0.0,0.68,0.6665041291431011
0.0,0.7000000000000001,0.6862571057414087
0.0,0.72,0.7059689287383057
0.0,0.74,0.7255928760757122
0.0,0.76,0.7450381094521483
0.0,0.78,0.7641416312230772
0.0,0.8,0.7826495857665882
0.0,0.8200000000000001,0.8002465483172343
0.0,0.84,0.8166476953761149
0.0,0.86,0.8316883905315166
0.0,0.88,0.8453380496916688
0.0,0.9,0.8576589946466671
0.0,0.92,0.8687607608414165
0.0,0.9400000000000001,0.8787695070284026
0.0,0.96,0.8878128482732557
0.0,0.98,0.8960152279411027
0.0,1.0,0.9034690688163837
0.0,1.0101010101010102,0.9069861504873578
0.0,1.02020202020202,0.9103494798679749
0.0,1.0303030303030303,0.913569029674624
0.0,1.0404040404040404,0.9166556757961899
0.0,1.0505050505050506,0.9196134853178722
0.0,1.0606060606060606,0.9224611800025491
0.0,1.0707070707070707,0.9251964238494207
0.0,1.0808080808080809,0.9278284849910721
0.0,1.0909090909090908,0.9303643725794779
0.0,1.101010101010101,0.9328094243972362
0.0,1.1111111111111112,0.9351580815353843
0.0,1.121212121212121,0.9374455543540062
0.0,1.1313131313131313,0.9396516888057388
