y,Vgs,psi
2.6919191919191915e-07,-2.0,-9.8883641997852e-05
2.7272727272727274e-07,-2.0,-9.075084543994982e-05
2.7626262626262623e-07,-2.0,-8.328208460792876e-05
2.797979797979798e-07,-2.0,-7.642262182696758e-05
2.833333333333333e-07,-2.0,-7.012219878053434e-05
2.868686868686869e-07,-2.0,-6.433466486700077e-05
2.904040404040404e-07,-2.0,-5.901763627567444e-05
2.939393939393939e-07,-2.0,-5.4132183179172103e-05
2.9747474747474745e-07,-2.0,-4.964254266227803e-05
3.01010101010101e-07,-2.0,-4.551585521042196e-05
3.0454545454545453e-07,-2.0,-4.172192276563688e-05
3.0808080808080806e-07,-2.0,-3.8232986526025234e-05
3.116161616161616e-07,-2.0,-3.502352281792733e-05
3.1515151515151514e-07,-2.0,-3.207005550953227e-05
3.186868686868687e-07,-2.0,-2.9350983561841532e-05
3.222222222222222e-07,-2.0,-2.684642242880824e-05
3.2575757575757575e-07,-2.0,-2.453805812413464e-05
3.292929292929293e-07,-2.0,-2.240901286852266e-05
3.328282828282828e-07,-2.0,-2.044372131895317e-05
3.3636363636363636e-07,-2.0,-1.8627816461554496e-05
3.398989898989899e-07,-2.0,-1.6948024322473012e-05
3.4343434343434344e-07,-2.0,-1.53920667174787e-05
3.46969696969697e-07,-2.0,-1.394857132136554e-05
3.505050505050505e-07,-2.0,-1.2606988393030025e-05
3.5404040404040405e-07,-2.0,-1.1357513541870722e-05
3.575757575757576e-07,-2.0,-1.0191015966244888e-05
3.611111111111111e-07,-2.0,-9.098971635502702e-06
3.6464646464646466e-07,-2.0,-8.073400923917333e-06
3.6818181818181815e-07,-2.0,-7.106810237929168e-06
3.717171717171717e-07,-2.0,-6.1921372077833805e-06
3.752525252525252e-07,-2.0,-5.322699041093811e-06
3.7878787878787876e-07,-2.0,-4.492143659316795e-06
3.823232323232323e-07,-2.0,-3.6944032587497066e-06
3.8585858585858583e-07,-2.0,-2.923649955638433e-06
3.8939393939393937e-07,-2.0,-2.1742531904259812e-06
3.929292929292929e-07,-2.0,-1.4407385792195138e-06
3.9646464646464644e-07,-2.0,-7.177479112969824e-07
4e-07,-2.0,-8.375203702099405e-24
0.0,-1.98,-0.33327236927767295
4.999999999999999e-10,-1.98,-0.23849519252548612
9.999999999999999e-10,-1.98,-0.20685158201724504
1.4999999999999998e-09,-1.98,-0.18734143786307275
1.9999999999999997e-09,-1.98,-0.17320796108645217
2.4999999999999996e-09,-1.98,-0.16212685553561143
2.9999999999999996e-09,-1.98,-0.1530171537478092
3.4999999999999995e-09,-1.98,-0.14528719940326623
3.9999999999999994e-09,-1.98,-0.1385776449686271
4.499999999999999e-09,-1.98,-0.13265376258840944
4.999999999999999e-09,-1.98,-0.127353726785444
5.5e-09,-1.98,-0.12256122330814856
5.999999999999999e-09,-1.98,-0.11818982622572492
6.499999999999999e-09,-1.98,-0.11417355301375505
6.999999999999999e-09,-1.98,-0.11046087950353181
7.5e-09,-1.98,-0.10701079697964448
7.999999999999999e-09,-1.98,-0.10379012835770388
8.499999999999998e-09,-1.98,-0.10077164975442114
8.999999999999998e-09,-1.98,-0.09793274373711144
9.499999999999999e-09,-1.98,-0.09525441327666781
9.999999999999999e-09,-1.98,-0.09272054632720322
1.0499999999999998e-08,-1.98,-0.09031735825963753
1.1e-08,-1.98,-0.0880329628968291
1.1499999999999999e-08,-1.98,-0.08585703811213727
1.1999999999999998e-08,-1.98,-0.08378056202244906
1.2499999999999998e-08,-1.98,-0.0817956026090935
1.2999999999999997e-08,-1.98,-0.07989514828172697
1.3499999999999998e-08,-1.98,-0.07807297017722128
1.3999999999999998e-08,-1.98,-0.07632350931490832
1.4499999999999997e-08,-1.98,-0.07464178340880614
1.5e-08,-1.98,-0.07302330936390802
1.5499999999999997e-08,-1.98,-0.07146403839015993
1.5999999999999998e-08,-1.98,-0.06996030134530935
1.65e-08,-1.98,-0.06850876242946759
1.6999999999999997e-08,-1.98,-0.06710637974433233
1.7499999999999998e-08,-1.98,-0.06575037153012542
1.7999999999999996e-08,-1.98,-0.06443818712611488
1.8499999999999997e-08,-1.98,-0.0631674818826277
1.8999999999999998e-08,-1.98,-0.06193609539585001
1.9499999999999996e-08,-1.98,-0.06074203255044583
1.9999999999999997e-08,-1.98,-0.05958344694583455
2.0499999999999998e-08,-1.98,-0.05845862635491924
2.0999999999999996e-08,-1.98,-0.05736597992301159
2.1499999999999997e-08,-1.98,-0.05630402686260457
2.2e-08,-1.98,-0.05527138643877845
2.2499999999999996e-08,-1.98,-0.05426676907215462
2.2999999999999998e-08,-1.98,-0.05328896841281677
2.3499999999999995e-08,-1.98,-0.052336854260582405
2.3999999999999997e-08,-1.98,-0.05140936622528813
2.4499999999999998e-08,-1.98,-0.05050550803602994
2.4999999999999996e-08,-1.98,-0.04962434242111765
2.5499999999999997e-08,-1.98,-0.048764986491299595
2.5999999999999995e-08,-1.98,-0.047926607567939046
2.6499999999999996e-08,-1.98,-0.047108419405565
2.6999999999999997e-08,-1.98,-0.04630967876480789
2.7499999999999995e-08,-1.98,-0.04552968229735557
2.7999999999999996e-08,-1.98,-0.044767763709381986
2.8499999999999997e-08,-1.98,-0.04402329117403912
2.8999999999999995e-08,-1.98,-0.04329566496716667
2.9499999999999996e-08,-1.98,-0.04258431530345296
3e-08,-1.98,-0.04188870035294722
3.0499999999999995e-08,-1.98,-0.041208304420138175
3.099999999999999e-08,-1.98,-0.04054263626982947
3.15e-08,-1.98,-0.03989122758580051
3.1999999999999995e-08,-1.98,-0.03925363154977904
3.249999999999999e-08,-1.98,-0.038629421529599244
3.3e-08,-1.98,-0.0380181898666029
3.3499999999999996e-08,-1.98,-0.03741954675338302
3.3999999999999993e-08,-1.98,-0.036833119193887896
3.45e-08,-1.98,-0.03625855003871577
3.4999999999999996e-08,-1.98,-0.035695497089148924
3.5499999999999994e-08,-1.98,-0.035143632264113496
3.599999999999999e-08,-1.98,-0.03460264082481806
3.6499999999999996e-08,-1.98,-0.034072220652327956
3.6999999999999994e-08,-1.98,-0.03355208157378217
3.749999999999999e-08,-1.98,-0.033041944733360806
3.7999999999999996e-08,-1.98,-0.03254154200447037
3.8499999999999994e-08,-1.98,-0.03205061543993602
3.899999999999999e-08,-1.98,-0.03156891675727795
3.9499999999999996e-08,-1.98,-0.031096206856409035
3.9999999999999994e-08,-1.98,-0.03063225536735171
4.049999999999999e-08,-1.98,-0.03017684022561368
4.0999999999999997e-08,-1.98,-0.0297297472734772
4.1499999999999994e-08,-1.98,-0.02929076988505543
4.199999999999999e-08,-1.98,-0.02885970861355794
4.25e-08,-1.98,-0.028436370859172787
4.2999999999999995e-08,-1.98,-0.02802057055612921
4.349999999999999e-08,-1.98,-0.02761212787762063
4.4e-08,-1.98,-0.027210868957372805
4.4499999999999995e-08,-1.98,-0.02681662562673746
4.499999999999999e-08,-1.98,-0.02642923516627879
4.549999999999999e-08,-1.98,-0.026048540070899805
4.5999999999999995e-08,-1.98,-0.02567438782762783
4.649999999999999e-08,-1.98,-0.02530663070524487
4.699999999999999e-08,-1.98,-0.02494512555500903
4.7499999999999995e-08,-1.98,-0.024589733621768844
4.799999999999999e-08,-1.98,-0.02424032036482315
4.849999999999999e-08,-1.98,-0.023896755287925796
4.8999999999999995e-08,-1.98,-0.02355891177787747
4.949999999999999e-08,-1.98,-0.023226666951186206
5e-08,-1.98,-0.022899901508314422
5.3535353535353535e-08,-1.98,-0.020736203966034525
5.7070707070707066e-08,-1.98,-0.01880460636958922
6.060606060606061e-08,-1.98,-0.017074822557893467
6.414141414141413e-08,-1.98,-0.015521587151668341
6.767676767676767e-08,-1.98,-0.014123610150917468
7.121212121212121e-08,-1.98,-0.01286279300646893
7.474747474747475e-08,-1.98,-0.011723630885370597
7.828282828282828e-08,-1.98,-0.010692750062953605
8.181818181818181e-08,-1.98,-0.009758545061928607
8.535353535353534e-08,-1.98,-0.008910890559474773
8.888888888888888e-08,-1.98,-0.008140910122871605
9.242424242424242e-08,-1.98,-0.007440788688888873
9.595959595959596e-08,-1.98,-0.006803619107413364
9.94949494949495e-08,-1.98,-0.006223275495711042
1.0303030303030303e-07,-1.98,-0.005694307902688633
1.0656565656565657e-07,-1.98,-0.005211854065871709
1.1010101010101009e-07,-1.98,-0.004771564994765841
1.1363636363636363e-07,-1.98,-0.004369541826823272
1.1717171717171717e-07,-1.98,-0.004002281941728564
1.207070707070707e-07,-1.98,-0.003666632732140019
1.2424242424242423e-07,-1.98,-0.0033597517471634824
1.2777777777777777e-07,-1.98,-0.003079072172324851
1.313131313131313e-07,-1.98,-0.0028222728038671645
1.3484848484848484e-07,-1.98,-0.0025872518284996283
1.3838383838383838e-07,-1.98,-0.0023721038416825557
1.4191919191919192e-07,-1.98,-0.0021750996351983442
1.4545454545454545e-07,-1.98,-0.001994668363464764
1.48989898989899e-07,-1.98,-0.0018293817618525619
1.5252525252525253e-07,-1.98,-0.0016779401422894363
1.5606060606060606e-07,-1.98,-0.0015391599340731624
1.595959595959596e-07,-1.98,-0.001411962572949734
1.6313131313131314e-07,-1.98,-0.001295364570602691
1.6666666666666668e-07,-1.98,-0.0011884686209006562
1.702020202020202e-07,-1.98,-0.0010904556194748563
1.7373737373737372e-07,-1.98,-0.0010005774901740722
1.7727272727272726e-07,-1.98,-0.0009181507262530215
1.808080808080808e-07,-1.98,-0.0008425505662594334
